name,split,map_loss,map_loss.stderr,tsplit,map_depth,map_depth.stderr,map_chamfer,map_chamfer.stderr
small/base,all,0.12537053165910722,0.0,all,3.920714903855006,0.0,1.1826237985711743,0.0
small/base,bike,0.11291133833489131,0.0,all,3.9248128138861396,0.0,1.0933261391546611,0.0
small/base,indoor,0.15864036671452153,0.0,all,3.5310418458802193,0.0,1.3682806723995629,0.0
small/base,outdoor,0.11387661381357002,0.0,all,4.173726495922645,0.0,1.1349873204204342,0.0
small/bike,all,0.18790029646368708,0.0038555693771481223,bike,5.716295932020303,0.07959265898197086,1.7084916314268004,0.019017302134692497
small/bike,bike,0.11604407809120569,0.0008143873192584674,bike,4.20576782964918,0.03260770299055521,1.1728955595421386,0.009595862209089156
small/bike,indoor,0.3196845638644448,0.009644050730142203,bike,7.8254302578350226,0.15878734845133596,2.4514287073956105,0.036020443725076574
small/bike,outdoor,0.16115685266252047,0.001719229317059307,bike,5.589207440216643,0.07859856938085487,1.6666603316580224,0.02699479863442683
small/indoor,all,0.2028774114886056,0.0019409953691644076,indoor,6.404154596117375,0.0645233328274432,2.3460187901627068,0.027128764971640768
small/indoor,bike,0.22778500202765864,0.005145180683277874,indoor,7.920358265515598,0.194935397714436,3.1092615885846255,0.07336621517857066
small/indoor,indoor,0.16777210702100576,0.0014936975241058579,indoor,3.914186738584581,0.024334766308681328,1.5749979656839952,0.011488269786819277
small/indoor,outdoor,0.20518830036260155,0.002823915501380388,indoor,6.777119574363917,0.13753765516147265,2.21631090214348,0.0387198084166871
small/outdoor,all,0.19775067263903123,0.004455924531463273,outdoor,5.909345443776814,0.08248705077407735,1.8284747454443906,0.027341515862394174
small/outdoor,bike,0.16159612390712635,0.0039018100276510485,outdoor,5.930166061805784,0.11792369820370767,1.5650982956211739,0.027492430694681033
small/outdoor,indoor,0.3614016873198177,0.009290160267401029,outdoor,7.780778474611736,0.15203480607478065,3.0098649795405934,0.04970452013691554
small/outdoor,outdoor,0.1202360286763131,0.0007345118350850098,outdoor,4.660436364957697,0.03481381139749944,1.2708840134024877,0.010063168965068744
